tpep_pickup_datetime,Date,Day_of_Week,Total_trips,Total_fare,Total_amount,speed_p50,duration_p50,duration_p95,distance_p50,distance_p95,avg_distance,revenue_per_trip,revenue_per_mile,Early Morning,Morning,Morning Rush,Midday,Evening Rush,Late Night,index_100_by_day_by_trips
2021-03-19 00:00:00-04:00,2021-03-19,Friday,69852,823844.1599999999,911768.2900000002,10.68,10.0,32.0,1.69,9.024999999999999,2.713758571817153,11.794138464181412,4.346110589871911,204.0 / 292.25,502.0 / 421.33,3067.0 / 2927.33,4611.67 / 4505.67,5034.67 / 5100.0,3111.0 / 3260.6,136.97276310371197
2021-03-20 00:00:00-04:00,2021-03-20,Saturday,57589,684673.2200000001,747371.5700000001,12.05,10.0,29.0,1.8,9.18,2.879226748628187,11.888958308010212,4.129285899912254,574.75 / 680.25,273.33 / 246.0,1309.0 / 1221.67,3687.83 / 3595.17,4219.0 / 4225.67,3151.8 / 3243.4,112.92625056375864
2021-03-21 00:00:00-04:00,2021-03-21,Sunday,42014,541050.63,586410.0200000001,13.1,9.0,30.0,1.9,11.89,3.321612396458155,12.877865235397724,3.8771683955356395,727.0 / 761.5,179.33 / 166.33,926.0 / 864.33,2942.5 / 2855.67,3196.0 / 3263.67,1709.4 / 1790.2,82.38523834735376
2021-03-22 00:00:00-04:00,2021-03-22,Monday,55986,690614.75,762172.8600000001,11.78,9.0,32.0,1.79,10.7,3.0449137253500997,12.335490122530633,4.0511928795323815,195.75 / 226.75,558.67 / 463.33,2861.0 / 2747.33,3972.33 / 3922.0,3979.0 / 4062.33,1834.6 / 1945.6,109.7829284075534
2021-03-23 00:00:00-04:00,2021-03-23,Tuesday,59426,713139.14,786871.4600000001,11.25,10.0,31.0,1.74,9.688499999999985,2.848006361066236,12.000456702453471,4.2135294316100635,165.75 / 203.0,496.0 / 418.67,2967.0 / 2803.0,4077.83 / 4035.0,4329.0 / 4394.33,2184.0 / 2311.2,116.5284232405828
2021-03-24 00:00:00-04:00,2021-03-24,Wednesday,64422,759384.0100000001,838803.5600000002,10.61,10.0,33.0,1.67,9.159499999999971,2.708446027754494,11.787650336841454,4.352182105919351,200.5 / 225.5,528.0 / 447.33,3081.33 / 2919.0,4355.17 / 4296.17,5384.67 / 5409.67,2101.4 / 2283.0,126.3250779457615
2021-03-25 00:00:00-04:00,2021-03-25,Thursday,65600,794916.4600000001,876345.29,11.06,10.0,33.0,1.74,9.7,2.8592013719512193,12.117628963414635,4.238116658130008,179.75 / 242.0,561.67 / 469.0,3065.33 / 2890.33,4372.17 / 4321.5,4806.33 / 4885.0,2669.6 / 2794.0,128.63501774614193
2021-03-26 00:00:00-04:00,2021-03-26,Friday,68898,852235.8599999999,934167.17,11.11,10.0,35.0,1.79,9.86,2.920629653821032,12.369529739615082,4.235394640965267,298.75 / 407.5,508.67 / 416.33,2738.67 / 2618.67,4248.67 / 4155.17,5045.33 / 5024.0,3466.6 / 3632.0,135.1020648273428
2021-03-27 00:00:00-04:00,2021-03-27,Saturday,63112,774181.27,836015.9800000001,11.92,10.0,30.0,1.87,9.4,2.943533298474117,12.266783971352517,4.167428695114856,709.0 / 814.5,283.33 / 253.33,1390.0 / 1300.67,4024.67 / 3897.5,4908.33 / 4966.67,3276.6 / 3381.4,123.7562993901602
2021-03-28 00:00:00-04:00,2021-03-28,Sunday,37539,481191.0,525891.06,13.81,9.0,29.0,1.88,13.331500000000014,3.4073203154137137,12.818428834012627,3.762014807698577,782.25 / 817.0,213.33 / 198.0,1030.67 / 961.33,2608.17 / 2563.17,2574.67 / 2608.67,1461.0 / 1517.6,73.61021236543326
2021-03-29 00:00:00-04:00,2021-03-29,Monday,54560,670116.2599999999,743625.1600000001,12.09,9.0,30.0,1.79,10.90199999999997,3.0564257565481974,12.28218951612903,4.0186539940709345,203.5 / 236.75,550.33 / 458.33,2706.33 / 2595.0,3818.33 / 3784.83,3968.0 / 4036.0,1832.4 / 1927.2,106.98668549130342
2021-03-30 00:00:00-04:00,2021-03-30,Tuesday,62445,772755.5099999999,852662.77,10.99,10.0,34.0,1.76,10.1,2.9380260713599387,12.37497814076387,4.212060169211599,188.75 / 231.5,522.0 / 435.33,2785.33 / 2644.33,4210.0 / 4136.83,4745.33 / 4803.0,2454.4 / 2610.0,122.44837931643038
2021-03-31 00:00:00-04:00,2021-03-31,Wednesday,63521,770538.04,849812.6100000001,11.08,10.0,33.0,1.71,10.2,2.902434585471835,12.130445679381623,4.179567032334962,230.25 / 264.5,545.67 / 454.67,2940.0 / 2789.67,4404.67 / 4353.67,4814.0 / 4847.0,2254.6 / 2413.4,124.55830735141282
2021-04-01 00:00:00-04:00,2021-04-01,Thursday,68395,829863.68,906511.1000000001,11.08,10.0,32.0,1.72,10.16,2.892176099893264,12.133396885737262,4.195226766505874,239.0 / 296.25,522.33 / 445.0,3038.67 / 2862.33,4573.5 / 4511.0,5069.67 / 5137.0,2821.2 / 2962.2,100.0
2021-04-02 00:00:00-04:00,2021-04-02,Friday,68298,820240.7500000001,900338.4400000002,11.62,9.0,30.0,1.72,10.02,2.9041886786927487,12.0097330814958,4.135408332630437,340.0 / 436.0,477.0 / 412.67,2536.67 / 2391.33,4770.83 / 4677.33,4765.67 / 4893.0,2995.0 / 3079.8,99.85817676730755
2021-04-03 00:00:00-04:00,2021-04-03,Saturday,58290,702325.54,761573.41,12.3,9.0,30.0,1.8,9.9,2.969933432840942,12.04881694973409,4.057074838148934,573.0 / 663.0,282.67 / 252.67,1357.67 / 1264.33,4002.5 / 3897.33,4235.33 / 4299.33,2871.2 / 2961.0,85.22552818188464
2021-04-04 00:00:00-04:00,2021-04-04,Sunday,43189,573453.12,620406.6800000002,14.03,9.0,31.0,1.99,13.79,3.553358262520549,13.277758688554956,3.7366788563381372,618.5 / 662.75,192.67 / 175.0,1003.33 / 950.67,3088.67 / 3007.33,3065.0 / 3112.33,1880.0 / 1956.0,63.146428832516996
2021-04-05 00:00:00-04:00,2021-04-05,Monday,58780,755982.1299999999,837112.6400000001,11.75,10.0,34.0,1.8,12.18,3.2101112736924486,12.861213507995917,4.006734281729263,225.5 / 262.5,566.33 / 469.33,2925.67 / 2784.33,4093.0 / 4034.5,4286.33 / 4403.33,1997.0 / 2110.4,85.94195482125886
2021-04-06 00:00:00-04:00,2021-04-06,Tuesday,65912,829075.9299999999,909919.0000000002,10.96,10.0,34.0,1.8,10.85,3.0212848212660073,12.578527885665736,4.163444000830805,199.5 / 248.0,560.0 / 464.0,3173.0 / 3014.0,4515.67 / 4453.83,4853.0 / 4929.67,2452.4 / 2594.8,96.3696176621098
2021-04-07 00:00:00-04:00,2021-04-07,Wednesday,69903,864327.23,944405.2000000001,10.87,10.0,34.0,1.78,10.24,2.937959715029613,12.364665751112256,4.2086248918174505,234.25 / 282.75,591.33 / 498.67,3282.0 / 3114.33,4663.17 / 4597.5,5096.0 / 5147.67,2815.8 / 2981.0,102.20483953505372
2021-04-08 00:00:00-04:00,2021-04-08,Thursday,72608,909141.54,974833.2400000001,10.62,11.0,35.0,1.79,10.308499999999913,2.9718015536334086,12.521230993829882,4.213549778746605,253.5 / 324.75,581.0 / 476.67,3234.0 / 3067.67,4796.5 / 4715.17,5258.67 / 5318.67,3118.8 / 3285.8,106.15980700343593
2021-04-09 00:00:00-04:00,2021-04-09,Friday,73717,916472.2999999999,971916.8100000002,10.65,10.0,35.0,1.75,10.1,2.9184837961392898,12.432305980981319,4.259850953233789,343.75 / 451.75,508.33 / 420.33,2992.67 / 2834.67,4691.33 / 4576.17,5465.67 / 5554.67,3458.8 / 3604.8,107.7812705607135
2021-04-10 00:00:00-04:00,2021-04-10,Saturday,64259,1173886.3,1215840.2100000002,11.81,10.0,30.0,1.82,9.51199999999997,2.9291618033832885,18.26804494312081,6.2357324547925375,722.75 / 836.75,280.0 / 246.33,1495.67 / 1388.67,4111.17 / 4017.5,4723.67 / 4708.67,3440.6 / 3555.2,93.9527743256086
2021-04-11 00:00:00-04:00,2021-04-11,Sunday,44321,563146.27,575151.3800000001,12.94,9.0,31.0,1.8,12.9,3.3117186371841156,12.7060822183615,3.836787373257943,947.5 / 968.75,241.33 / 219.67,1032.0 / 976.0,3307.83 / 3226.17,3107.0 / 3171.0,1508.6 / 1597.8,64.8015205789897
2021-04-12 00:00:00-04:00,2021-04-12,Monday,65088,806627.37,847922.6200000001,11.05,10.0,34.0,1.7,11.05,5.024877546630613,12.392873801622418,2.466373396506552,194.0 / 234.75,587.33 / 481.33,3346.67 / 3207.33,4462.67 / 4399.5,5152.33 / 5239.0,2055.4 / 2193.8,95.16485123181519
2021-04-13 00:00:00-04:00,2021-04-13,Tuesday,69144,855687.0799999998,896430.9900000001,10.68,10.0,34.0,1.75,10.07,2.9073621716996416,12.375435034131664,4.256585283592995,213.75 / 268.25,605.33 / 502.0,3334.33 / 3164.33,4611.83 / 4542.5,5034.67 / 5112.0,2739.0 / 2896.2,101.09510929161489
2021-04-14 00:00:00-04:00,2021-04-14,Wednesday,72118,875068.66,924024.7000000001,10.65,10.0,33.0,1.74,9.71,2.83753126819934,12.133845364541447,4.276197940275536,232.75 / 280.25,588.0 / 493.0,3275.33 / 3110.67,4837.0 / 4752.17,5310.67 / 5416.67,2928.6 / 3084.6,105.4433803640617
2021-04-15 00:00:00-04:00,2021-04-15,Thursday,75144,915407.86,956799.27,9.9,11.0,34.0,1.68,9.62,2.777439013029186,12.182048600021293,4.386320127032567,277.75 / 336.25,570.33 / 471.33,3431.33 / 3250.67,5334.67 / 5237.17,5370.67 / 5481.33,2781.6 / 2953.2,109.86768038599313
2021-04-16 00:00:00-04:00,2021-04-16,Friday,77164,963299.52,990082.3400000002,10.09,11.0,36.0,1.7,9.91,2.848046163217169,12.483794515577213,4.3831988849842665,290.75 / 405.75,554.0 / 455.0,3117.0 / 2948.33,4988.17 / 4851.5,5514.0 / 5577.67,3703.4 / 3897.8,112.82111265443379
2021-04-17 00:00:00-04:00,2021-04-17,Saturday,69410,834230.8699999999,862674.9500000002,11.8,10.0,30.0,1.83,9.29,2.897178301275124,12.018885895404122,4.147825733725806,824.25 / 936.25,322.67 / 280.67,1597.33 / 1488.0,4513.67 / 4400.17,4978.0 / 5003.0,3667.4 / 3789.8,101.48402661013232
2021-04-18 00:00:00-04:00,2021-04-18,Sunday,50534,648192.93,641031.0,12.92,10.0,31.0,1.93,11.77399999999994,3.308270437140087,12.826867653461036,3.8772846365317055,984.25 / 1021.75,259.67 / 243.67,1150.33 / 1064.67,3658.0 / 3552.5,3644.0 / 3743.0,1897.4 / 1995.6,73.88551794721836
2021-04-19 00:00:00-04:00,2021-04-19,Monday,63070,781921.4900000001,801545.3900000002,11.34,10.0,32.0,1.78,10.74,3.0245427302996677,12.397677025527194,4.099025251429941,216.5 / 259.25,594.0 / 492.0,3272.33 / 3124.33,4381.0 / 4325.17,4488.0 / 4598.67,2171.0 / 2287.4,92.2143431537393
2021-04-20 00:00:00-04:00,2021-04-20,Tuesday,73612,911111.23,944516.4600000002,10.47,11.0,34.0,1.75,9.9,2.881535796766744,12.377210645003531,4.295462664092218,215.5 / 278.75,569.0 / 470.67,3448.33 / 3246.33,4814.67 / 4730.33,5462.67 / 5580.0,3084.4 / 3244.8,107.62775056656189
2021-04-21 00:00:00-04:00,2021-04-21,Wednesday,74444,887811.9700000001,936575.4299999999,10.49,10.0,32.0,1.7,9.42,2.7576149537229826,11.925903632260493,4.324762222878327,333.5 / 377.75,598.0 / 499.67,3430.67 / 3248.0,4989.33 / 4925.67,5320.33 / 5420.67,3025.4 / 3174.8,108.84421375831566
2021-04-22 00:00:00-04:00,2021-04-22,Thursday,79027,947173.8299999998,991045.9400000001,10.4,10.0,32.0,1.7,9.51,2.7750662465358182,11.985445860275602,4.319163589466386,261.25 / 340.75,590.0 / 493.33,3665.33 / 3468.0,5253.83 / 5163.67,5681.67 / 5792.67,3329.6 / 3484.0,115.54499597923824
2021-04-23 00:00:00-04:00,2021-04-23,Friday,79241,975918.5499999999,1004424.7000000002,10.53,11.0,34.0,1.75,9.8,2.8736922475043856,12.315828295957902,4.285714818963938,437.5 / 570.5,551.33 / 462.0,3236.67 / 3072.67,4883.0 / 4763.33,5711.33 / 5763.33,3939.0 / 4097.0,115.85788434827107
2021-04-24 00:00:00-04:00,2021-04-24,Saturday,73645,898822.27,917671.59,11.45,10.0,32.0,1.87,9.1,2.900640675710542,12.204796931224116,4.207831925717034,1196.5 / 1322.75,345.67 / 306.33,1639.0 / 1531.33,4624.83 / 4477.17,5339.0 / 5380.0,3827.8 / 3967.6,107.67599970758097
2021-04-25 00:00:00-04:00,2021-04-25,Sunday,45942,593110.76,564857.6200000001,13.36,9.0,30.0,1.91,12.61,3.4054098824553765,12.909989987375386,3.7911791708430567,1232.25 / 1267.5,231.0 / 206.33,1046.0 / 988.67,3142.67 / 3057.0,3225.67 / 3304.67,1729.8 / 1806.2,67.17157686965422
2021-04-26 00:00:00-04:00,2021-04-26,Monday,65414,822109.7899999999,824900.2300000001,11.2,10.0,33.0,1.77,11.12,3.0671760533235486,12.567795731800532,4.097512304850886,245.75 / 301.25,640.33 / 532.33,3412.67 / 3258.0,4438.0 / 4375.0,4639.0 / 4762.33,2345.4 / 2460.2,95.6414942612764
2021-04-27 00:00:00-04:00,2021-04-27,Tuesday,71574,870201.04,903187.15,10.75,10.0,32.0,1.73,9.8,2.863501047925108,12.158060748316428,4.246049853601236,227.25 / 287.25,575.33 / 463.0,3538.33 / 3364.0,4803.33 / 4737.0,5177.33 / 5267.33,2794.4 / 2944.0,104.64800058483807
2021-04-28 00:00:00-04:00,2021-04-28,Wednesday,78218,956536.78,996954.0800000001,10.33,11.0,34.0,1.73,9.53,2.8125836146057077,12.22911324759007,4.347828446604494,256.5 / 325.25,592.0 / 486.67,3511.67 / 3327.67,5114.33 / 5004.83,5674.33 / 5785.67,3434.4 / 3617.6,114.36216097667958
2021-04-29 00:00:00-04:00,2021-04-29,Thursday,77070,964020.17,980693.4099999999,10.11,11.0,36.0,1.73,9.9,2.8794776041936987,12.508371220967948,4.343820872866231,385.25 / 472.25,640.33 / 532.33,3591.33 / 3406.33,5122.17 / 5017.5,5433.67 / 5537.33,3160.0 / 3329.6,112.68367570728854
2021-04-30 00:00:00-04:00,2021-04-30,Friday,83402,1038836.4900000001,1058551.57,10.4,11.0,36.0,1.75,9.97,2.8953666666666664,12.455774321958707,4.302065672693048,475.25 / 610.5,617.67 / 511.0,3278.33 / 3111.67,5177.67 / 5056.0,5858.67 / 5925.67,4234.2 / 4395.8,121.94166240222239
2021-05-01 00:00:00-04:00,2021-05-01,Saturday,75587,915042.4900000001,927786.0300000001,11.95,10.0,30.0,1.85,9.52,2.9514431434808497,12.105818328548562,4.101572496768537,1140.25 / 1301.5,364.33 / 316.67,1868.33 / 1747.0,4737.33 / 4629.83,5244.67 / 5279.33,4034.0 / 4114.6,100.0
2021-05-02 00:00:00-04:00,2021-05-02,Sunday,56761,735594.88,710086.6600000001,13.23,10.0,31.0,1.96,12.29,3.3849137581705104,12.959512341220204,3.8287342572396423,1342.5 / 1398.25,287.67 / 264.0,1272.67 / 1180.33,3846.0 / 3754.0,4040.67 / 4095.67,2302.4 / 2404.8,75.09360075145197
2021-05-03 00:00:00-04:00,2021-05-03,Monday,70139,874528.2100000001,877454.68,11.19,10.0,33.0,1.76,11.23,3.0504282923908237,12.468501261780181,4.087459224293972,321.75 / 379.0,658.67 / 538.33,3505.33 / 3353.0,4754.17 / 4686.17,5318.0 / 5387.67,2376.2 / 2533.8,92.7924113934936
2021-05-04 00:00:00-04:00,2021-05-04,Tuesday,75653,917205.0499999999,934148.7300000002,10.65,10.0,32.0,1.73,9.81,2.846385448200193,12.123842412065615,4.259697888210204,256.75 / 321.25,578.33 / 484.67,3493.0 / 3297.67,5007.17 / 4935.17,5532.67 / 5630.0,3154.2 / 3304.0,100.08731660206121
2021-05-05 00:00:00-04:00,2021-05-05,Wednesday,81571,982984.14,1012777.4100000001,10.06,11.0,33.0,1.7,9.4,2.752689223979404,12.050656973679372,4.377827774990808,342.25 / 423.5,615.33 / 508.0,3786.0 / 3579.0,5476.0 / 5393.83,5590.67 / 5652.67,3474.0 / 3659.0,107.91670525354888
2021-05-06 00:00:00-04:00,2021-05-06,Thursday,82768,1040274.1100000001,1062432.2700000003,10.02,11.0,35.0,1.75,9.81,2.8785858927578953,12.568554393002128,4.366107177147236,438.75 / 544.5,618.33 / 520.33,3672.67 / 3462.0,5274.5 / 5165.33,5918.0 / 5963.67,3747.8 / 3952.0,109.5003109000225
2021-05-07 00:00:00-04:00,2021-05-07,Friday,86415,1090155.82,1105350.0200000003,10.41,11.0,36.0,1.79,10.2,2.942986819112865,12.615354047329747,4.2866726891707625,594.5 / 739.5,618.67 / 518.33,3380.33 / 3194.33,5220.0 / 5078.83,6161.0 / 6248.67,4447.4 / 4620.0,114.3252146533134
2021-05-08 00:00:00-04:00,2021-05-08,Saturday,74850,894830.66,906933.7000000002,11.99,10.0,29.0,1.8,9.74,2.923581305863962,11.954985437541751,4.089312403485961,1400.5 / 1531.25,359.0 / 330.0,1715.33 / 1580.0,4956.0 / 4862.67,5057.67 / 5072.33,3623.2 / 3720.4,99.02496461031659
2021-05-09 00:00:00-04:00,2021-05-09,Sunday,59537,773219.1699999999,749610.5800000001,12.77,10.0,34.0,1.9,12.393499999999985,3.3614936002956295,12.987204091573307,3.8637107813346825,1241.75 / 1300.25,267.0 / 239.33,1354.33 / 1251.33,4251.83 / 4105.5,4359.33 / 4514.33,2223.4 / 2337.6,78.76618995329885
2021-05-10 00:00:00-04:00,2021-05-10,Monday,69481,882256.81,863664.17,11.29,10.0,33.0,1.8,11.47,3.124607225100749,12.697813934744751,4.063851001233494,287.5 / 337.0,650.33 / 532.67,3591.33 / 3433.0,4696.33 / 4627.67,4937.0 / 5081.67,2523.4 / 2645.0,91.9218913305198
2021-05-11 00:00:00-04:00,2021-05-11,Tuesday,78247,970237.3400000001,977520.3400000002,10.38,11.0,34.0,1.76,10.0,2.8982699656216853,12.399674620113233,4.278302148245005,278.5 / 352.75,587.67 / 477.0,3588.33 / 3395.67,5102.17 / 4995.5,5782.0 / 5850.33,3329.2 / 3538.8,103.51912365883022
2021-05-12 00:00:00-04:00,2021-05-12,Wednesday,81340,1005185.41,1024302.5000000001,10.46,11.0,34.0,1.76,10.1,2.8991364429909767,12.357824071797394,4.262320413435815,378.5 / 470.25,600.33 / 485.33,3684.67 / 3498.0,5223.17 / 5121.0,5873.33 / 5974.33,3602.4 / 3772.0,107.61109714633467
2021-05-13 00:00:00-04:00,2021-05-13,Thursday,76850,970652.77,955161.1900000001,10.79,11.0,35.0,1.8,10.4,3.010961483409239,12.630484970722186,4.1948344541495075,513.75 / 608.0,621.0 / 526.67,3132.33 / 2956.67,4855.83 / 4760.33,5378.33 / 5445.67,3653.0 / 3813.8,101.6709222485348
2021-05-14 00:00:00-04:00,2021-05-14,Friday,86540,1106206.48,1112720.2600000002,10.51,11.0,37.0,1.8,10.4925,3.006579342701304,12.782603189276635,4.251545673005322,618.25 / 792.5,637.0 / 534.33,3288.0 / 3117.0,5145.5 / 4994.33,6078.0 / 6132.33,4637.0 / 4810.6,114.49058700570205
2021-05-15 00:00:00-04:00,2021-05-15,Saturday,82908,1031284.8399999999,1031905.3999999999,11.68,10.0,31.0,1.9,9.728999999999942,3.0225061819234527,12.438906257538475,4.115318071116917,1613.25 / 1779.0,397.33 / 366.33,1752.67 / 1623.33,5017.0 / 4877.83,5851.0 / 5838.67,4470.0 / 4608.0,109.68552793469777
2021-05-16 00:00:00-04:00,2021-05-16,Sunday,61746,824130.43,773015.0200000001,13.02,10.0,32.0,2.0,13.498499999999986,3.5186742031614404,13.347106371262917,3.793325696331026,1725.0 / 1777.75,309.33 / 292.0,1312.33 / 1211.33,4075.0 / 3967.0,4555.67 / 4662.0,2372.8 / 2467.4,81.68865016471086
2021-05-17 00:00:00-04:00,2021-05-17,Monday,69067,856424.2999999999,845053.76,11.55,10.0,31.0,1.78,11.4,3.0917293853616155,12.399905888485094,4.010780375776604,356.75 / 421.5,629.0 / 514.0,3320.67 / 3201.67,4554.33 / 4475.17,5030.0 / 5164.0,2675.0 / 2778.2,91.37417809940864
2021-05-18 00:00:00-04:00,2021-05-18,Tuesday,79281,966435.43,972844.5700000001,10.62,10.0,32.0,1.74,10.080999999999912,2.878291981483117,12.190000504534504,4.235073872905378,356.75 / 453.0,569.33 / 467.67,3503.67 / 3333.67,5108.0 / 5026.17,5942.0 / 6011.0,3432.2 / 3575.0,104.88708375778903
2021-05-19 00:00:00-04:00,2021-05-19,Wednesday,84890,1058847.06,1075806.6700000002,10.07,11.0,36.0,1.74,9.86,2.8503700213224636,12.473165979502888,4.375177614895372,452.75 / 554.0,613.33 / 516.0,3681.0 / 3475.33,5449.83 / 5326.83,6008.67 / 6083.33,3894.2 / 4097.8,112.30767195417202
2021-05-20 00:00:00-04:00,2021-05-20,Thursday,86877,1116504.4100000001,1117352.2100000002,9.9,11.0,38.0,1.79,10.35,2.9561991642973076,12.851553460639755,4.347093507383546,588.75 / 727.0,622.0 / 523.33,3568.0 / 3361.67,5403.67 / 5254.83,6178.0 / 6258.67,4199.2 / 4401.8,114.93643086774182
2021-05-21 00:00:00-04:00,2021-05-21,Friday,88844,1129695.9400000002,1131442.1700000002,10.18,11.0,37.0,1.78,10.3,2.961154997748762,12.715500652829679,4.2942754331628805,773.25 / 968.0,635.0 / 545.67,3388.33 / 3189.67,5237.17 / 5099.0,6300.33 / 6314.67,4671.4 / 4845.6,117.53873020492942
2021-05-22 00:00:00-04:00,2021-05-22,Saturday,87301,1075322.77,1083578.52,11.59,10.0,31.0,1.89,9.6,2.981088390954705,12.317416409892212,4.13188336616138,1851.75 / 2022.25,400.33 / 374.0,1883.0 / 1734.33,5289.17 / 5144.5,6032.33 / 6066.67,4642.4 / 4764.0,115.49737388704406
2021-05-23 00:00:00-04:00,2021-05-23,Sunday,66266,867676.5199999999,834789.79,13.02,10.0,33.0,1.98,12.99,3.4426851390712487,13.093841789152806,3.8029923877609138,1856.0 / 1917.5,319.67 / 296.33,1520.33 / 1398.33,4368.33 / 4273.17,4646.0 / 4706.67,2634.8 / 2750.6,87.66851442708402
2021-05-24 00:00:00-04:00,2021-05-24,Monday,75680,951323.5900000001,939234.0900000002,11.17,10.0,33.0,1.78,11.62,3.0934978461375833,12.570343419661734,4.063524342717851,398.25 / 461.75,675.67 / 543.33,3482.67 / 3349.33,4883.67 / 4786.33,5766.67 / 5873.0,3002.0 / 3163.6,100.12303703017716
2021-05-25 00:00:00-04:00,2021-05-25,Tuesday,82791,1032958.0199999999,1034331.8300000002,10.14,11.0,35.0,1.75,10.19,2.906360254149252,12.47669456825017,4.293015225570753,308.75 / 392.0,637.67 / 521.33,3727.0 / 3521.0,5200.83 / 5096.0,6234.0 / 6287.67,3711.0 / 3931.4,109.530739412862
2021-05-26 00:00:00-04:00,2021-05-26,Wednesday,87197,1103695.0500000003,1114346.7400000002,9.65,11.0,37.0,1.72,9.93,2.8578340252769685,12.657488789751945,4.429114941927249,481.25 / 588.25,657.67 / 550.67,3824.33 / 3588.0,5564.17 / 5453.33,6422.0 / 6390.67,3835.0 / 4107.2,115.35978408985672
2021-05-27 00:00:00-04:00,2021-05-27,Thursday,86358,1126610.4000000001,1127872.5200000003,9.76,11.0,40.0,1.77,10.69,2.9874061164700025,13.045813937330648,4.366984060190177,611.75 / 753.75,684.33 / 558.33,3718.33 / 3531.33,5467.67 / 5319.5,6003.0 / 6079.67,3977.6 / 4183.6,114.24980486062417
2021-05-28 00:00:00-04:00,2021-05-28,Friday,81220,1045848.36,1034977.8500000001,10.12,11.0,39.0,1.7,11.1,3.001625501736068,12.876734301896084,4.289844735966482,864.75 / 983.5,666.33 / 559.67,3123.33 / 2970.0,5061.67 / 4889.5,6069.33 / 6185.67,3562.8 / 3760.6,107.4523396880416
2021-05-29 00:00:00-04:00,2021-05-29,Saturday,60255,736584.56,721055.1300000001,12.38,9.0,29.0,1.8,11.3,3.108934676535998,12.224455397892292,3.932103124048283,877.25 / 989.0,321.67 / 279.0,1502.33 / 1417.0,3826.5 / 3744.0,4326.0 / 4362.67,3067.4 / 3131.8,79.71608874541919
2021-05-30 00:00:00-04:00,2021-05-30,Sunday,50124,647266.58,611331.4900000001,12.99,9.0,31.0,1.86,13.748499999999913,3.405797653724911,12.913306599632909,3.7913019773600785,1162.75 / 1243.0,258.33 / 229.0,1015.67 / 965.0,3408.33 / 3325.67,3475.0 / 3524.67,2155.2 / 2208.4,66.31299032902483
2021-05-31 00:00:00-04:00,2021-05-31,Monday,52292,744358.22,656498.54,13.7,10.0,33.0,2.05,17.1,3.9091055480120103,14.234648129733037,3.6413924323469677,594.25 / 668.75,322.0 / 285.33,1146.0 / 1088.33,3346.17 / 3249.5,4003.33 / 4023.0,2684.8 / 2786.0,69.18120840885338
2021-06-01 00:00:00-04:00,2021-06-01,Tuesday,80101,1036750.8,1007355.18,10.63,11.0,37.0,1.8,11.73,3.1261401230945927,12.943044406436874,4.140263678783677,381.5 / 457.5,678.0 / 555.67,3722.33 / 3550.33,5093.83 / 4977.83,5895.67 / 6001.0,3424.8 / 3616.6,100.0
2021-06-02 00:00:00-04:00,2021-06-02,Wednesday,86689,1102783.67,1096418.1400000001,9.87,11.0,36.0,1.74,10.42,2.918105944374589,12.721148819342707,4.359437850308332,454.5 / 564.5,656.0 / 550.67,3816.0 / 3597.0,5405.0 / 5291.0,6365.33 / 6401.33,3985.8 / 4207.6,108.22461642176752
2021-06-03 00:00:00-04:00,2021-06-03,Thursday,90137,1135432.77,1133082.37,9.66,11.0,36.0,1.7,10.43,2.8944390574034213,12.596744622075285,4.352173553569805,596.25 / 704.0,665.0 / 550.0,4010.0 / 3720.0,5478.5 / 5406.67,6432.0 / 6496.67,4312.0 / 4516.2,112.52918190784136
2021-06-04 00:00:00-04:00,2021-06-04,Friday,89087,1148935.11,1137714.1099999999,9.95,11.0,38.0,1.76,10.6,2.970554408100038,12.896776297327333,4.341585582945198,770.25 / 968.5,645.33 / 543.67,3564.67 / 3368.33,5553.5 / 5368.83,5852.33 / 5983.33,4499.6 / 4662.8,111.21833684972722
2021-06-05 00:00:00-04:00,2021-06-05,Saturday,91058,1134773.5,1129176.4600000002,11.61,10.0,33.0,1.89,9.94,3.030691253349734,12.462095587427793,4.112056891787833,2042.0 / 2215.5,481.67 / 479.0,1987.67 / 1824.33,5318.17 / 5182.67,6387.67 / 6353.0,4882.0 / 5026.2,113.67898028738716
2021-06-06 00:00:00-04:00,2021-06-06,Sunday,71869,959809.7600000001,914374.55,12.96,10.0,35.0,1.99,13.6,3.6876822786219177,13.354989773059316,3.621562149740149,2250.75 / 2312.0,472.33 / 469.33,1621.0 / 1501.0,4556.5 / 4447.83,4866.33 / 4935.0,2929.6 / 3043.6,89.72297474438521
2021-06-07 00:00:00-04:00,2021-06-07,Monday,82702,1053258.75,1027485.2500000002,10.75,10.0,36.0,1.75,11.6,3.082262448910494,12.735589828541027,4.132034885422458,502.75 / 569.75,740.33 / 611.0,3801.0 / 3633.0,5475.17 / 5356.0,5879.67 / 6014.0,3315.4 / 3502.6,103.24715047252843
2021-06-08 00:00:00-04:00,2021-06-08,Tuesday,88870,1127053.6,1129476.6500000001,9.33,12.0,36.0,1.7,10.0,2.8300358951277147,12.682047935186228,4.481232184022849,455.25 / 537.75,725.67 / 596.67,4094.0 / 3866.67,5915.83 / 5781.17,6119.67 / 6218.67,3747.2 / 3997.2,110.94742887105029
