tpep_pickup_datetime,Date,Day_of_Week,Total_trips,Total_fare,Total_amount,speed_p50,duration_p50,duration_p95,distance_p50,distance_p95,avg_distance,revenue_per_trip,revenue_per_mile,Early Morning,Morning,Morning Rush,Midday,Evening Rush,Late Night,index_100_by_day_by_trips
2021-01-19 00:00:00-05:00,2021-01-19,Tuesday,47917,563234.9500000001,626731.4,11.25,9.0,30.0,1.7,9.47,2.788961328964668,11.754386752092161,4.21461087682262,100.0 / 121.5,461.67 / 380.0,2738.0 / 2623.33,3531.67 / 3504.0,3529.67 / 3601.33,1227.8 / 1318.6,208.02726404445605
2021-01-20 00:00:00-05:00,2021-01-20,Wednesday,46685,532067.3099999999,585597.8200000001,11.7,9.0,28.0,1.68,8.97,2.710015423173318,11.396964978044338,4.205601911884025,120.5 / 137.0,432.67 / 365.33,2645.67 / 2528.0,3305.33 / 3277.67,3508.33 / 3577.33,1322.2 / 1411.8,202.6786489537206
2021-01-21 00:00:00-05:00,2021-01-21,Thursday,50449,597967.38,655786.54,10.98,10.0,31.0,1.7,9.2,2.7535079789870154,11.852908481833138,4.304899552503597,126.25 / 147.75,457.0 / 385.67,2786.0 / 2663.67,3657.0 / 3597.83,3633.67 / 3737.33,1474.4 / 1582.2,219.01970999392205
2021-01-22 00:00:00-05:00,2021-01-22,Friday,50984,591789.17,655996.28,11.28,9.0,30.0,1.7,8.9,2.7133488937705947,11.607350737486271,4.277868859450714,153.25 / 187.0,453.67 / 381.0,2487.0 / 2387.33,3562.83 / 3510.0,3726.67 / 3773.33,1798.4 / 1910.2,221.34236346270728
2021-01-23 00:00:00-05:00,2021-01-23,Saturday,39552,445340.62,491576.2700000001,12.42,9.0,26.0,1.69,9.09,2.755277251005082,11.259623280744336,4.086842576665587,308.0 / 336.25,228.67 / 203.0,1099.33 / 1036.33,3005.17 / 2938.5,3039.33 / 3101.33,1437.4 / 1510.8,171.71138317270123
2021-01-24 00:00:00-05:00,2021-01-24,Sunday,29110,358512.29,393218.73000000004,13.85,8.0,27.0,1.8,11.976499999999978,3.2296530163528923,12.31577773960838,3.8135126470252856,355.75 / 379.25,156.33 / 138.33,733.0 / 690.33,2315.0 / 2270.0,2196.33 / 2243.67,908.0 / 951.2,126.37839715203611
2021-01-25 00:00:00-05:00,2021-01-25,Monday,44314,520857.69999999995,577462.48,11.58,9.0,29.0,1.7,9.8,2.8092738186577604,11.753795640203998,4.183926665368572,108.75 / 129.75,450.33 / 369.67,2687.0 / 2573.0,3234.0 / 3223.5,3183.0 / 3241.33,1102.8 / 1180.4,192.3851697490666
2021-01-26 00:00:00-05:00,2021-01-26,Tuesday,44948,511102.39999999997,568709.8600000001,11.33,9.0,28.0,1.65,8.71,2.6550181332740013,11.370970899706327,4.283075879306488,112.0 / 129.25,449.0 / 388.67,2631.33 / 2505.67,3347.33 / 3332.5,3230.0 / 3299.67,1097.0 / 1170.8,195.13762264478598
2021-01-27 00:00:00-05:00,2021-01-27,Wednesday,49339,564290.69,617352.6000000001,11.12,9.0,29.0,1.68,8.392999999999956,2.6409946285598465,11.43701108656438,4.3308941367874425,110.75 / 125.25,453.0 / 390.0,2679.0 / 2533.33,3581.0 / 3563.83,3646.0 / 3682.67,1415.2 / 1527.4,214.20074672223672
2021-01-28 00:00:00-05:00,2021-01-28,Thursday,53085,609442.1499999999,675467.8900000001,10.85,10.0,30.0,1.64,8.7,2.634549581794891,11.480496373740227,4.35772355223862,122.75 / 143.5,467.67 / 399.33,2769.0 / 2634.0,3765.5 / 3715.67,4121.33 / 4171.33,1585.4 / 1720.6,230.46366241208648
